,Name,Price,Make,Model,Fuel Type,Odometer,Colour,Engine Size ( in Litres),Transmission,Body Type,Manufacturing Year,County,Owners,Doors,Tax Expiry,NCT Expiry,Link
0,BMW 6 SERIES,"€39,000",BMW,6,Diesel,,Beige,3.0,Automatic,Saloon,2018,Limerick,2,2,Jul-2023,Jan-2024,http://www.cars.ie/used-cars/BMW-640-2018-Limerick-1709173
1,LEXUS NX 300H,"€8,200",LEXUS,NX,PETROL/ELECTRIC,,BLACK,2.5,Automatic,MPV,2016,Dublin,4,4,Dec-2022,Jan-2024,http://www.cars.ie/used-cars/LEXUS-NX 300H-2016-Dublin-1731989
2,FORD MONDEO,"€6,200",FORD,MONDEO,PETROL/ELECTRIC,,WHITE,2.0,Automatic,SALOON,2014,Dublin,1,4,Oct-2022,Dec-2021,http://www.cars.ie/used-cars/FORD-MONDEO-2014-Dublin-1731988
3,VOLKSWAGEN PASSAT,"€9,959",VOLKSWAGEN,PASSAT,DIESEL,,SILVER,2.0,Manual,COUPE,2012,Kerry,1,4,Apr-2023,Aug-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2012-Kerry-1731987
4,HONDA JAZZ,"€12,949",HONDA,JAZZ,Petrol,,White,1.3,Manual,Hatchback,2016,Meath,1,5,Dec-2022,Jun-2023,http://www.cars.ie/used-cars/HONDA-JAZZ-2016-Meath-1731895
5,AUDI A4,"€20,749",AUDI,A4,Diesel,,White,2.0,Manual,Saloon,2016,Meath,1,4,Aug-2023,Sep-2024,http://www.cars.ie/used-cars/AUDI-A4-2016-Meath-1731894
6,AUDI Q2,"€25,949",AUDI,Q2,Diesel,,Grey,1.6,Automatic,SUV,2017,Meath,1,5,Oct-2023,Aug-2023,http://www.cars.ie/used-cars/AUDI-Q2-2017-Meath-1731896
7,VOLKSWAGEN PASSAT,"€14,750",VOLKSWAGEN,PASSAT,Diesel,,Grey,1.6,Manual,Saloon,2015,Wexford,1,4,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2015-Wexford-1731950
8,PEUGEOT 208,"€5,999",PEUGEOT,208,Diesel,,Grey,1.4,Manual,Hatchback,2012,Kildare,2,4,Oct-2022,Oct-2023,http://www.cars.ie/used-cars/PEUGEOT-208-2012-Kildare-1731919
9,SUZUKI SWIFT,"€5,950",SUZUKI,SWIFT,Petrol,,Silver,1.2,Automatic,Hatchback,2009,Dublin,1,5,Oct-2022,Oct-2023,http://www.cars.ie/used-cars/SUZUKI-SWIFT-2009-Dublin-1731892
10,FIAT DOBLO,POA,FIAT,DOBLO,Diesel,,White,1.2,Manual,Van,2014,Galway,3,2,Apr-2023,-,http://www.cars.ie/used-cars/FIAT-DOBLO-2014-Galway-1731943
11,PEUGEOT 2008,POA,PEUGEOT,2008,Petrol,,Wine,1.2,Automatic,Hatchback,2016,Dublin,1,5,-,Oct-2024,http://www.cars.ie/used-cars/PEUGEOT-2008-2016-Dublin-1731893
12,AUDI A3,POA,AUDI,A3,Diesel,,Black,1.6,Manual,Hatchback,2010,Galway,2,5,Jun-2022,Feb-2023,http://www.cars.ie/used-cars/AUDI-A3-2010-Galway-1731942
13,MERCEDES-BENZ CL CLASS,POA,MERCEDES-BENZ,CL,Diesel,,Black,2.1,Manual,Saloon,2017,Wexford,2,4,Oct-2022,Aug-2023,http://www.cars.ie/used-cars/MERCEDES-BENZ-CL-CLASS-2017-Wexford-1731949
14,NISSAN MICRA,"€13,750",NISSAN,MICRA,Petrol,,Grey,1.0,Manual,Hatchback,2021,Wexford,1,4,Dec-2022,Jan-2024,http://www.cars.ie/used-cars/NISSAN-MICRA-2021-Wexford-1731948
15,MAZDA MAZDA6,"€10,450",MAZDA,MAZDA6,Petrol,,Blue,2.0,Manual,Saloon,2013,Galway,1,5,-,Nov-2024,http://www.cars.ie/used-cars/MAZDA-MAZDA6-2013-Galway-1731930
16,HONDA JAZZ,"€7,450",HONDA,JAZZ,Petrol,,Blue,1.2,Manual,Hatchback,2011,Galway,2,5,-,Nov-2023,http://www.cars.ie/used-cars/HONDA-JAZZ-2011-Galway-1731931
17,AUDI A1,"€12,900",AUDI,A1,Petrol,,Black,1.4,Automatic,Hatchback,2013,Limerick,1,5,-,-,http://www.cars.ie/used-cars/AUDI-A1-2013-Limerick-1731920
